jednostka_podzialu,rok,przestepstwa_stwierdzone,przestepstwa_wykryte,procent_wykrycia
woj. mazowieckie,2004,147,113,77.0
woj. mazowieckie,2003,193,152,79.0
woj. mazowieckie,2002,182,147,81.0
woj. mazowieckie,2001,233,172,74.0
woj. mazowieckie,2000,204,166,81.0
woj. mazowieckie,1999,172,124,72.0
woj. opolskie,2020,8,8,100.0
woj. opolskie,2019,13,13,100.0
woj. opolskie,2018,12,10,83.0
woj. opolskie,2017,9,9,100.0
woj. opolskie,2016,8,8,100.0
woj. opolskie,2015,15,13,87.0
woj. opolskie,2014,9,8,89.0
woj. opolskie,2013,10,10,100.0
woj. opolskie,2012,17,16,94.0
woj. opolskie,2011,10,10,100.0
woj. opolskie,2010,17,17,100.0
woj. opolskie,2009,14,13,93.0
woj. opolskie,2008,14,13,93.0
woj. opolskie,2007,15,15,100.0
woj. opolskie,2006,16,16,100.0
woj. opolskie,2005,13,12,92.0
woj. opolskie,2004,13,12,92.0
woj. opolskie,2003,19,18,95.0
woj. opolskie,2002,19,19,100.0
woj. opolskie,2001,21,20,95.0
woj. opolskie,2000,23,24,104.0
woj. opolskie,1999,23,21,91.0
woj. podkarpackie,2020,11,11,100.0
woj. podkarpackie,2019,22,21,95.0
woj. podkarpackie,2018,16,16,100.0
woj. podkarpackie,2017,14,15,107.0
woj. podkarpackie,2016,15,15,100.0
woj. podkarpackie,2015,6,6,100.0
woj. podkarpackie,2014,25,24,96.0
woj. podkarpackie,2013,28,28,100.0
woj. podkarpackie,2012,16,15,94.0
woj. podkarpackie,2011,14,14,100.0
woj. podkarpackie,2010,14,14,100.0
woj. podkarpackie,2009,26,19,73.0
woj. podkarpackie,2008,26,26,100.0
woj. podkarpackie,2007,12,12,100.0
woj. podkarpackie,2006,26,25,96.0
woj. podkarpackie,2005,21,19,90.0
woj. podkarpackie,2004,19,19,100.0
woj. podkarpackie,2003,27,24,89.0
woj. podkarpackie,2002,26,25,96.0
woj. podkarpackie,2001,38,31,82.0
woj. podkarpackie,2000,37,32,86.0
woj. podkarpackie,1999,25,21,84.0
woj. podlaskie,2020,15,15,100.0
woj. podlaskie,2019,13,13,100.0
woj. podlaskie,2018,14,14,100.0
woj. podlaskie,2017,15,15,100.0
woj. podlaskie,2016,11,11,100.0
woj. podlaskie,2015,17,16,94.0
